player1,player2,player3,player4,player5,seconds played,Defensive Rebounds,available DR,Offensive Rebounds, available OR
"PERKINS,NICK","JORDAN,DAVONTA","GRAVES,JAYVON","SEGU,RONALDO","HARRIS,JEREMY",199,1,1,2,2
"GRAVES,JAYVON","CARUTHERS,DONTAY","MCRAE,MONTELL","HARRIS,JEREMY","FAGAN,TRA'VON",130,2,3,0,0
"PERKINS,NICK","MCRAE,MONTELL","HARRIS,JEREMY","CARUTHERS,DONTAY","GRAVES,JAYVON",56,0,0,0,1
"MASSINBURG,CJ","JORDAN,DAVONTA","CARUTHERS,DONTAY","HARRIS,JEREMY","FAGAN,TRA'VON",60,1,1,0,2
"MASSINBURG,CJ","JORDAN,DAVONTA","HARRIS,JEREMY","FAGAN,TRA'VON","GRAVES,JAYVON",147,0,0,2,3
"WILLIAMS,JEENATHAN","SEGU,RONALDO","PERKINS,NICK","GRAVES,JAYVON","JORDAN,DAVONTA",244,6,6,2,4
"PERKINS,NICK","MASSINBURG,CJ","HARRIS,JEREMY","CARUTHERS,DONTAY","GRAVES,JAYVON",1322,8,16,8,22
"JORDAN,DAVONTA","MCRAE,MONTELL","HARRIS,JEREMY","BERTRAM,BROCK","CARUTHERS,DONTAY",73,1,2,0,2
"PERKINS,NICK","JORDAN,DAVONTA","CARUTHERS,DONTAY","MCRAE,MONTELL","HARRIS,JEREMY",61,0,0,0,0
"WILLIAMS,JEENATHAN","GRAVES,JAYVON","CARUTHERS,DONTAY","SEGU,RONALDO","FAGAN,TRA'VON",186,1,3,0,2
"WILLIAMS,JEENATHAN","MASSINBURG,CJ","HARRIS,JEREMY","BERTRAM,BROCK","CARUTHERS,DONTAY",29,0,0,0,1
"PERKINS,NICK","MASSINBURG,CJ","GRAVES,JAYVON","SEGU,RONALDO","HARRIS,JEREMY",143,0,0,2,3
"WILLIAMS,JEENATHAN","SEGU,RONALDO","MCRAE,MONTELL","CARUTHERS,DONTAY","MASSINBURG,CJ",195,2,2,0,3
"WILLIAMS,JEENATHAN","JORDAN,DAVONTA","CARUTHERS,DONTAY","HARRIS,JEREMY","FAGAN,TRA'VON",134,1,2,1,3
"PERKINS,NICK","MASSINBURG,CJ","JORDAN,DAVONTA","CARUTHERS,DONTAY","GRAVES,JAYVON",316,2,4,0,4
"SEGU,RONALDO","MCRAE,MONTELL","HARRIS,JEREMY","CARUTHERS,DONTAY","GRAVES,JAYVON",82,2,2,0,0
